epoch,reward,complexity,length,is_physical,is_elite,program,program_prefix,a,b
0,0.18284420336824972,8.0,8,True,False,tanh((d*(sqrt_eu2*(f*a)))),[tanh mul d mul sqrt_eu2 mul f a],1.0,1.0
0,0.46116784317548426,7.0,7,True,False,(1.0*(b*(sqrt_eu2*sqrt_eu1))),[mul 1.0 mul b mul sqrt_eu2 sqrt_eu1],1.0,0.24252483143747752
0,0.4020987837363685,4.0,4,True,False,(sqrt_eu1*tanh(d)),[mul sqrt_eu1 tanh d],1.0,1.0
0,0.18284420341831834,6.0,6,True,False,tanh((sqrt_eu2*(f*sqrt_eu1))),[tanh mul sqrt_eu2 mul f sqrt_eu1],1.0,1.0
0,0.012002222987312983,5.0,5,True,False,(sqrt_eu2*(f*sqrt_eu1)),[mul sqrt_eu2 mul f sqrt_eu1],1.0,1.0
0,0.37448070381403287,5.0,5,True,False,(1.0*(sqrt_eu2*a)),[mul 1.0 mul sqrt_eu2 a],0.027870142614273577,1.0
0,0.4953409895499314,5.0,5,True,False,(f*(b*d)),[mul f mul b d],1.0,0.03108609623438595
0,0.5910189412841504,4.0,4,True,False,tanh((a*sqrt_eu1)),[tanh mul a sqrt_eu1],1.9885007947665172,1.0
0,0.1828495368360584,4.0,4,True,False,tanh((d*sqrt_eu2)),[tanh mul d sqrt_eu2],1.0,1.0
0,0.25050908512435627,4.0,4,True,False,tanh((d*1.0)),[tanh mul d 1.0],1.0,1.0
0,0.5001179801825351,4.0,4,True,False,tanh((b*1.0)),[tanh mul b 1.0],1.0,0.3359847202622447
0,0.4450970500019293,4.0,4,True,False,(sqrt_eu1*tanh(b)),[mul sqrt_eu1 tanh b],1.0,7.477494054538457
0,0.5001179801858988,4.0,4,True,False,(b*tanh(d)),[mul b tanh d],1.0,0.4252774542730603
0,0.5595946089814617,8.0,8,True,False,(1.0*tanh((sqrt_eu1*(sqrt_eu1*a)))),[mul 1.0 tanh mul sqrt_eu1 mul sqrt_eu1 a],9.86232924054838,1.0
0,0.46116784317548426,11.0,11,True,False,(sqrt_eu2*(1.0*((sqrt_eu1*d)*(1.0*a)))),[mul sqrt_eu2 mul 1.0 mul mul sqrt_eu1 d mul 1.0 a],0.24252483143747752,1.0
0,0.32366235232997853,6.0,6,True,False,tanh((sqrt_eu1*(d*sqrt_eu1))),[tanh mul sqrt_eu1 mul d sqrt_eu1],1.0,1.0
